ORF,Observed Expression,Protein Molecules/Cell,Standard Deviation,CEC,Spurious
YHL035C,None,-,-,0.74,0
YHL036W,GFP,-,-,0.37,0
YHL037C,None,-,-,0.13,1
YHL038C,Both,1.36E+03,-,0.67,0
YHL039W,Both,5.17E+03,-,0.75,0
YHL040C,Both,#,-,0.57,0
YHL041W,None,-,-,0.08,1
YHL042W,None,-,-,0.41,0
YHL043W,None,-,-,0.52,0
YHL044W,None,-,-,0.45,0
YHL045W,None,-,-,0.26,0
YHL046C,None,-,-,0.46,0
YHL047C,None,-,-,0.54,0
YHL048W,Both,3.07E+03,-,0.38,0
YHL049C,None,-,-,0.43,0
YHL050C,None,-,-,0.43,0
YHR001W,TAP,2.35E+03,-,0.77,0
YHR001W-A,Both,5.59E+03,-,0.36,0
YHR002W,None,-,-,0.5,0
YHR003C,Both,8.43E+03,-,0.72,0
YHR004C,Both,3.77E+02,-,0.55,0
YHR005C,Both,9.92E+03,-,0.77,0
YHR005C-A,None,-,-,0.63,0
YHR006W,Both,6.49E+03,-,0.64,0
YHR007C,Both,7.32E+04,-,0.68,0
YHR008C,Both,1.09E+04,-,0.56,0
YHR009C,Both,5.24E+03,-,0.74,0
YHR010W,Both,7.38E+03,-,0.55,0
YHR011W,Both,4.05E+02,-,0.66,0
YHR012W,Both,2.59E+02,-,0.75,0
YHR013C,Both,3.31E+03,-,0.64,0
YHR014W,None,-,-,0.45,0
YHR015W,Both,9.89E+01,-,0.67,0
YHR016C,TAP,%,-,0.61,0
YHR017W,None,-,-,0.52,0
YHR018C,Both,1.02E+04,-,0.77,0
YHR019C,None,-,-,0.75,0
YHR020W,None,-,-,0.8,0
YHR021C,Both,#,-,0.48,0
YHR021W-A,None,-,-,0.17,0
YHR022C,None,-,-,0.4,0
YHR023W,Both,2.14E+03,-,0.78,0
YHR024C,Both,3.14E+04,2.46E+03,0.73,0
YHR025W,Both,9.26E+04,-,0.6,0
YHR026W,GFP,-,-,0.43,0
YHR027C,Both,3.06E+05,-,0.89,0
YHR028C,None,-,-,0.69,0
YHR029C,TAP,#,-,0.75,0
YHR030C,Both,3.23E+03,-,0.65,0
YHR031C,Both,6.56E+02,-,0.8,0
YHR032W,None,-,-,0.39,0
YHR033W,None,-,-,0.23,0
YHR034C,Both,2.61E+03,-,0.3,0
YHR035W,TAP,4.50E+02,-,0.69,0
YHR036W,Both,1.28E+03,-,0.67,0
YHR037W,Both,1.72E+04,-,0.84,0
YHR038W,Both,1.44E+03,-,0.64,0
YHR039C,Both,2.50E+03,-,0.75,0
YHR039C-A,Both,2.28E+03,-,0.71,0
YHR040W,Both,2.80E+03,-,0.37,0
YHR041C,Both,1.72E+03,-,0.15,0
YHR042W,Both,4.66E+04,-,0.67,0
YHR043C,Both,2.40E+03,-,0.66,0
YHR044C,TAP,7.52E+02,-,0.69,0
YHR045W,GFP,-,-,0.7,0
YHR046C,Both,2.44E+03,-,0.63,0
YHR047C,Both,7.70E+04,-,0.86,0
YHR048W,None,-,-,0.27,0
YHR049C-A,None,-,-,-0.14,1
YHR049W,Both,1.46E+04,-,0.72,0
YHR050W,None,-,-,0.5,0
YHR051W,Both,1.25E+04,-,0.68,0
YHR052W,Both,4.59E+04,-,0.83,0
YHR053C,Both,3.19E+04,-,0.14,0
YHR054C,None,-,-,0.62,0
YHR055C,Both,6.68E+03,-,0.14,0
YHR056C,None,-,-,0.67,0
YHR057C,Both,3.39E+02,-,0.36,0
YHR058C,Both,4.82E+03,-,0.55,0
YHR059W,Both,2.63E+03,-,0.51,0
YHR060W,Both,7.52E+02,-,0.66,0
YHR061C,Both,1.10E+03,-,0.62,0
YHR062C,Both,6.30E+03,-,0.31,0
YHR063C,Both,2.60E+03,-,0.75,0
YHR064C,Both,7.36E+04,-,0.79,0
YHR065C,None,-,-,0.76,0
YHR066W,Both,8.15E+03,-,0.82,0
YHR067W,Both,7.99E+02,-,0.34,0
YHR068W,Both,7.60E+03,-,0.76,0
YHR069C,Both,4.84E+03,3.88E+02,0.62,0
YHR070W,Both,4.12E+03,-,0.39,0
YHR071W,None,-,-,0.41,0
YHR072W,Both,2.19E+03,-,0.67,0
YHR072W-A,GFP,-,-,0.44,0
YHR073W,Both,5.89E+02,-,0.76,0
YHR074W,Both,1.72E+02,-,0.73,0
YHR075C,None,-,-,0.69,0
YHR076W,None,-,-,0.76,0
YHR077C,Both,1.28E+03,-,0.79,0
YHR078W,None,-,-,0.46,0
YHR079C,Both,2.59E+02,-,0.74,0
YHR079C-A,None,-,-,0.36,0
YHR080C,TAP,%,-,0.73,0
YHR081W,None,-,-,0.58,0
YHR082C,Both,1.27E+03,-,0.78,0
YHR083W,Both,1.47E+03,-,0.44,0
YHR084W,Both,1.92E+03,-,0.66,0
YHR085W,Both,4.42E+03,-,0.55,0
YHR086W,Both,1.48E+03,-,0.46,0
YHR087W,Both,2.43E+03,-,0.68,0
YHR088W,TAP,7.84E+02,-,0.66,0
YHR089C,Both,5.73E+03,-,0.35,0
YHR090C,Both,%,-,0.7,0
YHR091C,None,-,-,0.56,0
YHR092C,None,-,-,0.58,0
YHR093W,TAP,%,-,0.32,0
YHR094C,TAP,2.33E+04,-,0.52,0
YHR095W,None,-,-,0.17,1
YHR096C,None,-,-,0.59,0
YHR097C,Both,#,-,0.53,0
YHR098C,Both,1.22E+04,-,0.72,0
YHR099W,None,-,-,0.82,0
YHR100C,None,-,-,0.51,0
YHR101C,Both,3.46E+03,-,0.53,0
YHR102W,Both,1.04E+03,-,0.66,0
YHR103W,Both,%,-,0.75,0
YHR104W,Both,1.29E+04,-,0.75,0
YHR105W,GFP,-,-,0.29,0
YHR106W,Both,4.14E+02,-,0.71,0
YHR107C,Both,1.17E+03,-,0.81,0
YHR108W,Both,2.27E+03,-,0.78,0
YHR109W,TAP,2.94E+03,-,0.6,0
YHR110W,Both,%,-,0.54,0
YHR111W,Both,2.62E+03,-,0.62,0
YHR112C,Both,1.36E+03,-,0.73,0
YHR113W,Both,1.72E+02,-,0.76,0
YHR114W,Both,5.44E+03,-,0.8,0
YHR115C,Both,2.79E+03,-,0.61,0
YHR116W,Both,1.36E+03,-,0.23,0
YHR117W,Both,4.11E+03,-,0.78,0
YHR118C,Both,2.97E+03,1.43E+02,0.66,0
YHR119W,Both,1.72E+02,-,0.8,0
YHR120W,Both,1.67E+03,-,0.75,0
YHR121W,Both,8.32E+03,-,0.54,0
YHR122W,Both,1.80E+03,-,0.64,0
YHR123W,Both,#,-,0.3,0
YHR124W,None,-,-,0.68,0
YHR125W,None,-,-,-0.23,1
YHR126C,None,-,-,0.54,0
YHR127W,Both,2.14E+03,-,0.52,0
YHR128W,None,-,-,0.65,0
YHR129C,Both,1.58E+03,-,0.54,0
YHR130C,None,-,-,0.12,1
YHR131C,Both,1.72E+02,-,0.6,0
YHR132C,Both,4.68E+02,-,0.69,0
YHR132W-A,Both,1.40E+03,-,0.35,0
YHR133C,Both,1.90E+03,-,0.58,0
YHR134W,None,-,-,0.54,0
YHR135C,Both,1.63E+03,-,0.51,0
YHR136C,Both,2.18E+03,-,0.39,0
YHR137W,Both,7.70E+03,-,0.75,0
YHR138C,Both,3.19E+02,-,0.51,0
YHR139C,None,-,-,0.42,0
YHR139C-A,None,-,-,0.13,1
YHR140W,Both,#,-,0.27,0
YHR141C,Both,3.89E+03,-,0.41,0
YHR142W,GFP,-,-,0.3,0
YHR143W,TAP,%,-,0.27,0
YHR143W-A,Both,9.07E+02,-,0.44,0
YHR144C,Both,1.51E+03,-,0.51,0
YHR145C,None,-,-,0.03,1
YHR146W,Both,2.99E+03,-,0.77,0
YHR147C,Both,5.68E+03,-,0.56,0
YHR148W,None,-,-,0.51,0
YHR149C,Both,1.55E+03,-,0.65,0
YHR150W,None,-,-,0.6,0
YHR151C,None,-,-,0.45,0
YHR152W,Both,9.37E+02,-,0.43,0
YHR153C,None,-,-,0.52,0
YHR154W,Both,1.38E+03,-,0.68,0
YHR155W,Both,1.17E+03,-,0.76,0
YHR156C,Both,7.99E+02,-,0.62,0
YHR157W,None,-,-,0.33,0
YHR158C,Both,1.35E+03,-,0.83,0
YHR159W,Both,5.04E+02,-,0.49,0
YHR160C,None,-,-,0.67,0
YHR161C,Both,6.23E+02,-,0.48,0
YHR162W,Both,3.41E+03,-,0.28,0
YHR163W,Both,3.42E+03,-,0.67,0
YHR164C,Both,%,-,0.8,0
YHR165C,Both,4.68E+02,-,0.83,0
YHR166C,Both,7.97E+01,1.00E+01,0.65,0
YHR167W,Both,2.84E+03,-,0.64,0
YHR168W,TAP,1.89E+02,-,0.7,0
YHR169W,Both,3.50E+03,-,0.68,0
YHR170W,Both,1.19E+04,3.93E+03,0.8,0
YHR171W,None,-,-,0.75,0
YHR172W,Both,2.23E+03,3.71E+02,0.69,0
YHR173C,TAP,1.49E+02,-,0.14,0
YHR174W,Both,2.61E+03,-,0.62,0
YHR175W,Both,#,-,0.21,0
YHR176W,None,-,-,0.62,0
YHR177W,None,-,-,0.33,0
YHR178W,Both,2.79E+02,-,0.7,0
YHR179W,Both,1.51E+04,-,0.7,0
YHR180W,None,-,-,0.37,0
YHR181W,Both,1.81E+03,-,0.35,0
YHR182W,Both,1.72E+03,-,0.75,0
YHR183W,Both,1.01E+05,-,0.68,0
YHR184W,None,-,-,0.74,0
YHR185C,None,-,-,0.5,0
YHR186C,Both,%,-,0.75,0
YHR187W,Both,3.87E+03,-,0.61,0
YHR188C,TAP,1.68E+03,-,0.61,0
YHR189W,Both,3.39E+02,-,0.07,0
YHR190W,Both,1.08E+04,-,0.66,0
YHR191C,None,-,-,0.36,0
YHR192W,Both,3.39E+03,-,0.53,0
YHR193C,Both,3.80E+04,-,0.7,0
YHR194W,Both,1.20E+03,-,0.35,0
YHR195W,Both,1.90E+03,-,0.66,0
YHR196W,Both,2.00E+04,-,0.81,0
YHR197W,Both,7.82E+03,-,0.78,0
YHR198C,Both,1.35E+03,-,0.49,0
YHR199C,Both,4.42E+03,-,0.49,0
YHR200W,Both,1.72E+04,-,0.55,0
YHR201C,Both,3.17E+03,-,0.69,0
YHR202W,GFP,-,-,0.73,0
YHR203C,Both,1.02E+05,-,0.57,0
YHR204W,Both,6.56E+02,-,0.7,0
YHR205W,Both,3.85E+03,-,0.78,0
YHR206W,Both,2.57E+03,-,0.65,0
YHR207C,Both,5.00E+03,-,0.77,0
YHR208W,TAP,8.73E+04,-,0.71,0
YHR209W,TAP,4.38E+03,-,0.58,0
YHR210C,None,-,-,0.6,0
YHR211W,None,-,-,0.36,0
YHR212C,None,-,-,0.19,1
YHR213W,None,-,-,0.49,0
YHR214W,None,-,-,0.55,0
YHR214W-A,None,-,-,-0.02,1
YHR215W,Both,3.29E+03,-,0.66,0
YHR216W,Both,7.87E+03,-,0.69,0
YHR217C,None,-,-,-0.07,1
YHR218W,None,-,-,0.44,0
YHR219W,None,-,-,0.37,0
YIL001W,Both,1.95E+02,-,0.59,0
YIL002C,Both,9.89E+01,-,0.73,0
YIL003W,None,-,-,0.59,0
YIL004C,Both,%,-,0.35,0
YIL005W,Both,6.02E+03,-,0.69,0
YIL006W,None,-,-,0.22,0
YIL007C,Both,8.46E+02,-,0.57,0
YIL008W,Both,1.24E+03,-,0.52,0
YIL009C-A,None,-,-,0.2,0
YIL009W,Both,6.44E+03,-,0.77,0
YIL010W,Both,1.84E+03,-,0.75,0
YIL011W,None,-,-,0.44,0
YIL012W,None,-,-,0.12,1
YIL013C,None,-,-,0.77,0
YIL014W,TAP,2.31E+03,-,0.7,0
YIL015C-A,None,-,-,-,0
YIL015W,Both,6.72E+02,-,0.63,0
YIL016W,Both,3.35E+03,-,0.56,0
YIL017C,Both,%,-,0.67,0
YIL018W,TAP,4.05E+03,-,0.52,0
YIL019W,GFP,-,-,0.73,0
YIL020C,Both,6.49E+03,-,0.62,0
YIL021W,Both,1.00E+04,6.68E+02,0.79,0
YIL022W,GFP,-,-,0.61,0
YIL023C,None,-,-,0.09,0
YIL024C,TAP,1.54E+03,-,0.37,0
YIL025C,None,-,-,0.29,0
YIL026C,Both,4.09E+03,-,0.81,0
YIL027C,Both,5.24E+03,-,0.42,0
YIL028W,None,-,-,0.16,1
YIL029C,None,-,-,0.04,1
YIL030C,Both,#,-,0.81,0
YIL031W,Both,4.50E+02,-,0.66,0
YIL032C,None,-,-,0.18,1
YIL033C,Both,4.28E+03,-,0.67,0
YIL034C,Both,6.77E+03,-,0.64,0
YIL035C,Both,7.18E+03,-,0.67,0
YIL036W,Both,1.24E+03,-,0.67,0
YIL037C,GFP,-,-,0.41,0
YIL038C,Both,2.49E+03,-,0.83,0
YIL039W,Both,1.07E+03,-,0.68,0
YIL040W,Both,%,-,0.24,0
YIL041W,Both,7.72E+03,-,0.69,0
YIL042C,Both,4.22E+03,-,0.2,0
YIL043C,Both,4.82E+03,-,0.5,0
YIL044C,Both,5.35E+03,-,0.51,0
YIL045W,Both,9.96E+02,-,0.61,0
YIL046W,Both,2.17E+02,-,0.25,0
YIL047C,Both,1.16E+03,-,0.49,0
YIL048W,Both,#,-,0.8,0
YIL049W,None,-,-,0.13,0
YIL050W,Both,3.39E+03,-,0.56,0
YIL051C,Both,1.68E+05,-,0.59,0
YIL052C,Both,2.10E+04,-,0.5,0
YIL053W,Both,1.93E+05,-,0.7,0
YIL054W,TAP,5.21E+02,-,-0.07,0
YIL055C,Both,%,-,0.59,0
YIL056W,Both,2.79E+02,-,0.62,0
YIL057C,Both,5.53E+03,-,0.55,0
YIL058W,None,-,-,0.16,1
YIL059C,TAP,%,-,0.28,0
YIL060W,None,-,-,0.12,1
YIL061C,Both,7.36E+02,-,0.43,0
YIL062C,Both,3.06E+03,-,0.52,0
YIL063C,Both,3.62E+03,5.42E+02,0.81,0
YIL064W,Both,1.62E+03,-,0.62,0
YIL065C,Both,2.41E+03,-,0.37,0
YIL066C,Both,1.36E+03,-,0.78,0
YIL067C,GFP,-,-,0.5,0
YIL068C,Both,1.08E+03,-,0.8,0
YIL069C,Both,6.16E+03,-,0.6,0
YIL070C,Both,4.91E+03,-,0.77,0
YIL071C,Both,5.04E+02,-,0.54,0
YIL072W,None,-,-,0.67,0
YIL073C,None,-,-,0.62,0
YIL074C,Both,2.01E+03,-,0.78,0
YIL075C,Both,4.75E+03,-,0.86,0
YIL076W,Both,2.31E+04,-,0.71,0
YIL077C,Both,9.22E+02,-,0.64,0
YIL078W,Both,4.26E+04,4.75E+03,0.81,0
YIL079C,Both,1.55E+03,-,0.44,0
YIL083C,Both,3.17E+03,-,0.76,0
YIL084C,Both,1.05E+02,-,0.76,0
YIL085C,TAP,2.89E+03,-,0.72,0
YIL086C,None,-,-,0.2,1
YIL087C,GFP,-,-,0.29,0
YIL088C,Both,1.95E+02,-,0.51,0
YIL089W,TAP,%,-,0.31,0
YIL090W,Both,6.06E+02,-,0.29,0
YIL091C,Both,1.72E+02,-,0.76,0
YIL092W,Both,1.05E+02,-,0.57,0
YIL093C,Both,1.92E+03,-,0.57,0
YIL094C,Both,1.91E+04,-,0.75,0
YIL095W,Both,1.32E+03,-,0.72,0
YIL096C,Both,2.96E+03,-,0.61,0
YIL097W,Both,7.84E+02,-,0.66,0
YIL098C,Both,5.89E+02,-,0.49,0
YIL099W,None,-,-,0.38,0
YIL100W,None,-,-,0.23,1
YIL101C,Both,1.95E+02,-,0.34,0
YIL102C,None,-,-,0.42,0
YIL103W,Both,2.53E+03,-,0.79,0
YIL104C,Both,7.06E+03,-,0.77,0
YIL105C,Both,5.19E+03,-,0.56,0
YIL106W,Both,5.02E+03,-,0.39,0
YIL107C,Both,1.71E+03,-,0.81,0
YIL108W,Both,1.95E+02,-,0.63,0
YIL109C,GFP,-,-,0.71,0
YIL110W,GFP,-,-,0.8,0
YIL111W,Both,2.25E+03,-,0.44,0
YIL112W,Both,%,-,0.85,0
YIL113W,Both,#,-,0.29,0
YIL114C,GFP,-,-,0.41,0
YIL115C,Both,1.23E+03,-,0.84,0
YIL116W,GFP,-,-,0.74,0
YIL117C,GFP,-,-,0.48,0
YIL118W,TAP,5.91E+03,-,0.63,0
YIL119C,Both,1.34E+03,-,0.45,0
YIL120W,None,-,-,0.47,0
YIL121W,GFP,-,-,0.39,0
YIL122W,Both,7.36E+02,-,0.29,0
YIL123W,Both,1.80E+03,-,0.52,0
YIL124W,Both,3.67E+03,-,0.76,0
YIL125W,Both,1.43E+04,-,0.82,0
YIL126W,Both,1.99E+03,-,0.9,0
YIL127C,Both,3.67E+03,-,0.54,0
YIL128W,Both,3.15E+03,-,0.76,0
YIL129C,Both,2.06E+02,-,0.78,0
YIL130W,Both,3.96E+02,-,0.69,0
YIL131C,Both,1.72E+03,-,0.67,0
YIL132C,Both,4.14E+02,-,0.52,0
YIL133C,Both,4.33E+04,-,0.59,0
YIL134W,None,-,-,0.44,0
YIL135C,Both,2.18E+03,-,0.36,0
YIL136W,Both,6.49E+03,-,0.65,0
YIL137C,Both,5.11E+03,-,0.79,0
YIL138C,Both,1.11E+04,-,0.7,0
YIL139C,None,-,-,0.59,0
YIL140W,Both,3.96E+02,-,0.69,0
YIL141W,None,-,-,0.19,1
YIL142W,None,-,-,0.78,0
YIL143C,Both,8.25E+02,2.46E+02,0.83,0
YIL144W,Both,1.16E+03,-,0.68,0
YIL145C,Both,2.40E+03,-,0.43,0
YIL146C,None,-,-,0.64,0
YIL147C,Both,6.56E+02,-,0.82,0
YIL148W,Both,1.18E+04,-,0.56,0
YIL149C,Both,2.77E+03,-,0.72,0
YIL150C,Both,1.86E+03,2.02E+02,0.65,0
YIL151C,Both,5.04E+02,-,0.81,0
YIL152W,None,-,-,0.14,0
YIL153W,Both,4.59E+03,-,0.17,0
YIL154C,Both,5.11E+03,-,0.24,0
YIL155C,Both,1.67E+03,-,0.51,0
YIL156W,Both,6.06E+02,-,0.66,0
YIL157C,Both,1.68E+03,-,0.62,0
YIL158W,GFP,-,-,0.49,0
YIL159W,Both,2.59E+02,-,0.81,0
YIL160C,Both,#,-,0.61,0
YIL161W,Both,1.23E+03,-,0.59,0
YIL162W,TAP,1.78E+03,-,0.73,0
YIL163C,None,-,-,-0.02,1
YIL164C,None,-,-,0.44,0
YIL165C,None,-,-,0.5,0
YIL166C,None,-,-,0.64,0
YIL167W,None,-,-,0.68,0
YIL168W,None,-,-,0.42,0
YIL169C,None,-,-,0.42,0
YIL170W,None,-,-,0.44,0
YIL171W,None,-,-,0.41,0
YIL172C,Both,1.66E+02,-,0.75,0
YIL173W,Both,3.19E+02,-,0.8,0
YIL174W,None,-,-,-0.11,1
YIL175W,None,-,-,0.21,1
YIL176C,None,-,-,0.48,0
YIL177C,None,-,-,0.53,0
YIR001C,Both,6.49E+03,-,0.59,0
YIR002C,GFP,-,-,0.85,0
YIR003W,Both,4.50E+02,-,0.75,0
YIR004W,Both,8.97E+03,-,0.79,0
YIR005W,Both,9.22E+02,-,0.58,0
YIR006C,Both,#,-,0.65,0
YIR007W,Both,1.07E+03,-,0.66,0
YIR008C,TAP,1.97E+02,3.00E+01,0.72,0
YIR009W,Both,5.04E+02,-,0.34,0
YIR010W,Both,1.31E+03,-,0.63,0
YIR011C,Both,2.12E+03,-,0.56,0
YIR012W,Both,1.97E+04,5.17E+03,0.69,0
YIR013C,None,-,-,0.3,0
YIR014W,Both,%,-,0.2,0
YIR015W,Both,2.07E+03,-,0.22,0
YIR016W,TAP,#,-,0.27,0
YIR017C,Both,%,-,0.27,0
YIR018W,Both,2.38E+02,-,0.43,0
YIR019C,None,-,-,0.28,0
YIR020C,None,-,-,-0.06,1
YIR020W-B,None,-,-,0.19,1
YIR021W,Both,5.24E+03,-,0.51,0
YIR022W,Both,3.15E+03,-,0.44,0
YIR023W,Both,7.04E+02,-,0.55,0
YIR024C,Both,5.89E+02,-,0.7,0
YIR025W,None,-,-,0.58,0
YIR026C,Both,7.57E+03,-,0.67,0
YIR027C,None,-,-,0.56,0
YIR028W,None,-,-,0.53,0
YIR029W,None,-,-,0.67,0
YIR030C,None,-,-,0.52,0
YIR031C,None,-,-,0.81,0
YIR032C,None,-,-,0.37,0
YIR033W,TAP,3.00E+02,-,0.77,0
YIR034C,Both,1.12E+05,-,0.64,0
YIR035C,Both,2.37E+03,-,0.56,0
YIR036C,Both,1.62E+03,-,0.35,0
YIR037W,Both,8.12E+03,-,0.58,0
YIR038C,Both,#,-,0.76,0
YIR039C,None,-,-,0.55,0
YIR040C,None,-,-,-0.14,1
YIR041W,None,-,-,0.51,0
YIR042C,None,-,-,0.6,0
YIR043C,None,-,-,0.46,0
YIR044C,None,-,-,0.25,1
YJL001W,Both,7.25E+03,-,0.64,0
YJL002C,Both,1.19E+04,-,0.73,0
YJL003W,TAP,6.72E+02,-,0.45,0
YJL004C,Both,2.38E+02,-,0.18,0
YJL005W,Both,%,-,0.81,0
YJL006C,Both,1.59E+03,-,0.52,0
YJL007C,None,-,-,0.2,1
YJL008C,None,-,-,0.8,0
YJL009W,None,-,-,-0.01,1
YJL010C,Both,2.93E+03,-,0.79,0
YJL011C,Both,2.93E+03,-,0.62,0
YJL012C,None,-,-,0.83,0
YJL012C-A,Both,8.71E+03,-,0.17,0
YJL013C,Both,3.17E+03,-,0.69,0
YJL014W,None,-,-,0.76,0
YJL015C,None,-,-,-0.18,1
YJL016W,Both,3.36E+03,-,0.53,0
YJL017W,Both,1.72E+02,-,0.47,0
YJL018W,Both,4.51E+03,-,0.4,0
YJL019W,None,-,-,0.59,0
YJL020C,None,-,-,0.68,0
YJL021C,Both,2.61E+03,-,-,0
YJL022W,None,-,-,0.24,1
YJL023C,TAP,7.21E+02,-,0.62,0
YJL024C,Both,1.24E+03,-,0.57,0
YJL025W,Both,3.98E+02,1.10E+02,0.5,0
YJL026W,Both,5.38E+02,-,0.71,0
YJL027C,None,-,-,-0.27,1
YJL028W,None,-,-,-0.19,1
YJL029C,Both,%,-,0.68,0
YJL030W,Both,1.11E+03,-,0.49,0
YJL031C,None,-,-,0.56,0
YJL032W,None,-,-,-0.04,1
YJL033W,Both,7.90E+03,-,0.9,0
YJL034W,Both,3.37E+05,-,0.83,0
YJL035C,Both,8.30E+02,-,0.49,0
YJL036W,Both,4.50E+02,-,0.69,0
YJL037W,None,-,-,0.5,0
YJL038C,None,-,-,0.55,0
YJL039C,Both,2.52E+03,-,0.81,0
YJL041W,Both,2.40E+03,-,0.73,0
YJL042W,Both,2.79E+02,-,0.74,0
YJL043W,GFP,-,-,0.14,0
YJL044C,Both,2.99E+03,-,0.59,0
YJL045W,None,-,-,0.69,0
YJL046W,None,-,-,0.66,0
YJL047C,Both,%,-,0.6,0
YJL048C,Both,1.34E+03,-,0.59,0
YJL049W,TAP,2.53E+03,-,0.73,0
YJL050W,Both,1.25E+04,-,0.87,0
YJL051W,None,-,-,0.6,0
YJL052C-A,None,-,-,0.05,1
YJL052W,Both,1.20E+05,-,0.61,0
YJL053W,GFP,-,-,0.6,0
YJL054W,GFP,-,-,0.78,0
YJL055W,Both,6.44E+03,-,0.59,0
YJL056C,Both,%,-,0.54,0
YJL057C,TAP,8.92E+02,-,0.75,0
YJL058C,Both,1.96E+03,-,0.56,0
YJL059W,None,-,-,0.45,0
YJL060W,Both,1.60E+03,-,0.77,0
YJL061W,Both,9.47E+03,2.18E+03,0.73,0
YJL062W,Both,2.59E+02,-,0.41,0
YJL062W-A,Both,2.53E+03,-,0.21,0
YJL063C,Both,3.03E+03,-,0.26,0
YJL064W,None,-,-,0.07,1
YJL065C,Both,3.39E+03,-,0.49,0
YJL066C,Both,3.39E+03,-,0.54,0
YJL067W,None,-,-,0.05,1
YJL068C,Both,1.75E+03,-,0.55,0
YJL069C,Both,9.57E+03,-,0.81,0
YJL070C,Both,1.10E+03,-,0.73,0
YJL071W,Both,1.12E+02,-,0.72,0
YJL072C,TAP,#,-,0.54,0
YJL073W,TAP,3.18E+03,-,0.62,0
YJL074C,Both,2.66E+03,-,0.83,0
YJL075C,None,-,-,0.42,0
YJL076W,Both,1.59E+03,-,0.77,0
YJL077C,None,-,-,-0.15,1
YJL078C,GFP,-,-,0.3,0
YJL079C,Both,5.56E+02,-,0.47,0
YJL080C,Both,#,-,0.85,0
YJL081C,Both,1.07E+03,3.08E+02,0.73,0
YJL082W,Both,4.98E+03,-,0.84,0
YJL083W,TAP,3.96E+02,-,0.38,0
YJL084C,Both,4.92E+01,-,0.65,0
YJL085W,Both,4.28E+03,3.40E+02,0.8,0
YJL086C,None,-,-,0.07,1
YJL087C,Both,3.11E+03,5.60E+01,0.81,0
YJL088W,Both,1.14E+03,-,0.72,0
YJL089W,None,-,-,0.51,0
YJL090C,Both,5.40E+02,5.54E+01,0.58,0
YJL091C,Both,%,-,0.39,0
YJL092W,Both,5.19E+03,-,0.82,0
YJL093C,None,-,-,0.66,0
YJL094C,TAP,1.72E+02,-,0.64,0
YJL095W,Both,1.12E+02,-,0.63,0
YJL096W,Both,1.84E+03,-,0.32,0
YJL097W,Both,#,-,0.3,0
YJL098W,Both,1.12E+04,-,0.79,0
YJL099W,Both,1.18E+03,-,0.64,0
YJL100W,TAP,5.69E+01,-,0.55,0
YJL101C,Both,5.13E+03,-,0.8,0
YJL102W,Both,1.73E+03,-,0.77,0
YJL103C,None,-,-,0.56,0
YJL104W,Both,3.18E+03,-,0.49,0
YJL105W,None,-,-,0.53,0
YJL106W,None,-,-,0.77,0
YJL107C,TAP,1.48E+03,-,0.72,0
YJL108C,None,-,-,0.42,0
YJL109C,Both,1.82E+04,-,0.76,0
YJL110C,Both,3.19E+02,-,0.56,0
YJL111W,None,-,-,0.76,0
YJL112W,Both,3.73E+03,-,0.71,0
YJL115W,Both,6.23E+03,-,0.62,0
YJL116C,None,-,-,0.65,0
YJL117W,GFP,-,-,0.65,0
YJL118W,None,-,-,-0.13,1
YJL119C,None,-,-,0.21,1
YJL120W,None,-,-,-0.03,1
YJL121C,Both,3.31E+03,-,0.64,0
YJL122W,Both,4.78E+03,-,0.67,0
YJL123C,Both,2.16E+03,-,0.78,0
YJL124C,Both,3.49E+03,-,0.64,0
YJL125C,Both,7.22E+03,2.28E+01,0.74,0
YJL126W,None,-,-,0.48,0
YJL127C,Both,1.50E+03,-,0.65,0
YJL127W-A,None,-,-,-0.01,1
YJL128C,Both,2.16E+03,-,0.72,0
YJL129C,None,-,-,0.75,0
YJL130C,Both,1.10E+04,-,0.81,0
YJL131C,Both,3.19E+02,-,0.63,0
YJL132W,None,-,-,0.68,0
YJL133W,Both,1.36E+03,-,0.3,0
YJL134W,TAP,#,-,0.22,0
YJL135W,None,-,-,0.24,1
YJL136C,Both,1.53E+04,-,0.63,0
YJL137C,Both,9.81E+02,-,0.62,0
YJL138C,Both,#,-,0.7,0
YJL139C,TAP,6.40E+03,-,0.56,0
YJL140W,GFP,-,-,0.73,0
YJL141C,None,-,-,0.57,0
YJL142C,None,-,-,-0.02,1
YJL143W,Both,1.21E+03,-,0.42,0
YJL144W,Both,1.49E+02,-,0.1,0
YJL145W,Both,6.54E+03,-,0.61,0
YJL146W,Both,1.85E+03,-,0.62,0
YJL147C,Both,9.81E+02,-,0.51,0
YJL148W,Both,3.36E+03,-,0.68,0
YJL149W,TAP,1.95E+02,-,0.6,0
YJL150W,None,-,-,-0.03,1
YJL151C,Both,1.25E+04,-,0.4,0
YJL152W,None,-,-,-0.18,1
YJL153C,Both,%,-,0.76,0
YJL154C,Both,2.36E+03,-,0.71,0
YJL155C,Both,1.68E+03,-,0.75,0
YJL156C,None,-,-,0.75,0
YJL156W-A,None,-,-,0.12,1
YJL157C,Both,2.38E+02,-,0.74,0
YJL158C,Both,1.25E+04,-,0.55,0
YJL159W,TAP,1.46E+04,-,0.42,0
YJL160C,None,-,-,0.42,0
YJL161W,Both,%,-,0.32,0
YJL162C,Both,1.84E+02,-,0.67,0
